Safe Hounds Beagle Rescue,http://www.petfinder.com/shelters/NJ414.html,http://www.facebook.com/SafeHounds,https://twitter.com/SafeHounds,http://www.youtube.com/SafeHounds,,,
S.A.V.E. Animal Rescue,http://www.petfinder.com/shelters/NY105.html,http://www.facebook.com/pages/SAVE-Animal-Rescue/107335099300537,,,,,
Save-A-Pet Animal Rescue and Adoption Center,http://www.petfinder.com/shelters/NY200.html,https://www.facebook.com/SaveAPetNY,https://twitter.com/saveapetli,,,,
SaveKitty Foundation,http://www.petfinder.com/shelters/NY572.html,,,,,,
"<p class=""apochartname"">Save Our Strays</p>",http://www.petfinder.com/shelters/CT30.html,https://www.facebook.com/SOSwestport,http://www.facebook.com/pages/Save-Our-Strays/101970239882139,,,,
Scottish Terrier Club of Greater New York,http://www.petfinder.com/shelters/NJ441.html,https://www.facebook.com/pages/Scottish-Terrier-Club-of-Greater-New-York-Rescue/613909755302599,,,,,
Sean Casey Animal Rescue,http://www.petfinder.com/shelters/NY637.html,http://www.facebook.com/SeanCaseyAnimalRescue,https://twitter.com/NYAnimalRescue,http://www.youtube.com/BrooklynDog2008,http://pinterest.com/nyanimalrescue/,http://instagram.com/nyanimalrescue,
Second Chance Rescue,http://www.petfinder.com/shelters/NY949.html,https://www.facebook.com/SecondChanceRescueNycDogs,https://twitter.com/nycscr,https://www.youtube.com/channel/UCaXa8tdjQeBe8vOPdP1Y-UQ,http://www.pinterest.com/nycsecondchance/,,
Shelter Survivors,http://www.petfinder.com/shelters/NJ521.html,https://www.facebook.com/sheltersurvivors,,,,,
Shore Hearts Golden Retriever Rescue,https://www.facebook.com/shgrr,,,,,,
Small Paws Rescue,http://www.petfinder.com/shelters/OK10.html,https://www.facebook.com/SmallPawsRescueInc,https://twitter.com/PDtoSmallPaws,http://www.youtube.com/smallpawsrescue,,,
Social Tees Animal Rescue,http://www.petfinder.com/shelters/NY835.html,http://www.facebook.com/SocialTeesAnimalRescue,https://twitter.com/SocialTeesNYC,http://www.youtube.com/SocialTees,http://pinterest.com/socialteesnyc/,http://instagram.com/socialteesnyc,
Southampton Animal Shelter Foundation,http://www.petfinder.com/shelters/NY48.html,http://www.facebook.com/southamptonanimalshelter,https://twitter.com/ShelterHampton,http://www.youtube.com/SASFinc,,,
SPCA of Connecticut,http://www.petfinder.com/shelters/CT06.html,http://www.facebook.com/spcaofconnecticut,https://twitter.com/SPCACT,,,,
SPCA of Westchester,http://www.petfinder.com/shelters/NY282.html,http://www.facebook.com/LisaAnneBonanno,https://twitter.com/SPCAwestchester,http://www.youtube.com/SPCA914,http://pinterest.com/spca914/,http://instagram.com/spcawestchester,
"<p class=""apochartname"">Staten Island Council for Animal Welfare</p>",http://www.petfinder.com/shelters/NY34.html,http://www.facebook.com/pages/SICAW-Staten-Island-Council-For-Animal-Welfare-Inc/121505491199469,https://twitter.com/SICAWRescue,,,,
Staten Island Hope Animal Rescue,http://www.petfinder.com/shelters/NY823.html,https://www.facebook.com/STATENISLANDHOPEANIMALRESCUE,http://www.facebook.com/pages/Staten-Island-Hope-Animal-Rescue/205019889523327,,,,
Stray from the Heart,http://www.petfinder.com/shelters/NY245.html,http://www.facebook.com/strayfromtheheart,https://twitter.com/StrayfromHeart,http://instagram.com/strayfromtheheart,,,
Tails of Courage,http://www.petfinder.com/shelters/CT403.html,https://www.facebook.com/tailsofcourage,https://twitter.com/TailsofCourage,,,,
Tavi & Friends,http://www.petfinder.com/shelters/NY794.html,https://www.facebook.com/taviandfriends,https://twitter.com/TaviandFriends,http://pinterest.com/taviandfriends/,,,
"<p class=""apochartname"">Tigger Foundation</p>",http://www.petfinder.com/shelters/NY133.html,,,,,,
Tiny Treasures Rescue,http://www.petfinder.com/shelters/NY580.html,,,,,,
Treasured k9s,http://www.petfinder.com/shelters/NJ544.html,https://www.facebook.com/TreasuredK9s,http://www.facebook.com/pages/Treasured-k9s-Inc/211232015182,https://twitter.com/Treasuredk9s,http://www.youtube.com/Treasuredk9s,http://instagram.com/treasuredk9s,
Tri-State Basset Hound Rescue,http://www.petfinder.com/shelters/NJ243.html,https://www.facebook.com/TSBHR,http://www.facebook.com/group.php?gid=130819696632,https://twitter.com/TSBHR,http://instagram.com/tsbhr,,
Tri-State Weimaraner Rescue,http://www.petfinder.com/shelters/NJ457.html,http://www.facebook.com/pages/Tri-State-Weimaraner-Rescue/95716453129,,,,,
Underdog ResQ,http://www.petfinder.com/shelters/MA261.html,https://www.facebook.com/pages/Underdog-ResQ/114565315293605,https://twitter.com/underdogresq,http://www.youtube.com/underdogresq,http://pinterest.com/underdogresq/,,
Unwanted NYC Pets,http://www.petfinder.com/shelters/NY1075.html,http://www.facebook.com/pages/Unwanted-NYC-Pets/190346327681159,http://www.youtube.com/unwantednycpets,http://instagram.com/unwantednycpets,,,
Urban Cat League,http://www.petfinder.com/shelters/NY694.html,https://www.facebook.com/pages/Urban-Cat-League/211208995572722,https://twitter.com/urbancatleague,,,,
